region,school_name,closure_year,local_office,school_level,utilization_status,address,years_since_closure,closure_risk_index
jeonbook,금구초 희남분교,1991,김제,초,매각,김제시 금구면 낙성리 3-1,34,0.5508196721311475
jeonbook,금국초,1999,순창,초,매각,순창군 쌍치면 금성리 276,26,0.4459016393442625
jeonbook,금남초,2024,김제,초,자체활용,김제시 금산면 용산리 405,1,0.2163934426229508
jeonbook,금사초,1997,무주,초,매각,무주군 안성면 금평 1390,28,0.47213114754098384
jeonbook,금성초,2018,익산,초,자체활용,익산시 성당면 두동리 702,7,0.29508196721311475
jeonbook,금평초,1991,무주,초,자체활용,무주군 무풍면 금평리 1537,34,0.6491803278688525
jeonbook,기곡초,1993,무주,초,매각,무주군 설천면 기곡 403,32,0.524590163934426
jeonbook,김제중앙초 대촌분교,1999,김제,초,매각,김제시 복죽동 293,26,0.4459016393442625
jeonbook,나장초,2002,군산,초,매각,군산시 나포면 나포리 120,23,0.4065573770491805
jeonbook,난신초,1997,부안,초,자체활용,부안군 줄포면 신리 300,28,0.5704918032786884
